month,car class,mdbf,mdbf_12avg,total_miles,number_of_failures,number_of_cars
2015-04,R160,341032,377858,8866841,26,1662
2015-04,R188-CONVERSION,190208,89890,570625,3,160
2015-04,R188-NEW,224514,338493,449028,2,104
2015-04,R32,122100,59547,854700,7,222
2015-04,R42,77790,55119,77790,1,50
2015-04,R46,138269,91119,3318460,24,752
2015-04,R62,118623,180525,1423476,12,315
2015-04,R62A,156216,115613,3280541,21,824
2015-04,R68,127925,151111,2046799,16,425
2015-04,R68A,120582,78648,602911,5,200
2015-03,ADIVISION,123016,127705,12301560,100,2838
2015-03,BDIVISION,162318,155031,17043393,105,3523
2015-03,FLEET,143146,142179,29344953,205,6361
2015-03,R142,196508,159082,4912696,25,1030
2015-03,R142A,81402,81411,1953651,24,405
2015-03,R143,80160,91156,881764,11,212
2015-03,R160,458386,373402,9167716,20,1662
2015-03,R188-CONVERSION,78264,79858,469584,6,150
2015-03,R188-NEW,422922,369787,422922,1,102
2015-03,R32,39016,58739,858341,22,222
2015-03,R42,49844,52852,99688,2,50
2015-03,R46,124549,88347,3362831,27,752
2015-03,R62,140981,201851,1409805,10,315
2015-03,R62A,92144,115312,3132890,34,824
2015-03,R68,139220,152140,2088305,15,425
2015-03,R68A,73094,81170,584748,8,200
2015-02,ADIVISION,100730,125624,10979521,109,2842
2015-02,BDIVISION,135914,157861,15086464,111,3523
2015-02,FLEET,118482,142422,26065985,220,6365
2015-02,R142,165625,151905,4306242,26,1030
2015-02,R142A,66775,79373,1736140,26,420
2015-02,R143,105094,93211,735660,7,212
2015-02,R160,347396,375314,7990115,23,1662
2015-02,R188-CONVERSION,43884,80256,351068,8,130
2015-02,R188-NEW,94014,372521,376056,4,101
2015-02,R32,60308,62541,784003,13,222
2015-02,R42,16058,50228,96349,6,50
2015-02,R46,73703,88877,3021838,41,752
2015-02,R62,122947,207454,1229474,10,315
2015-02,R62A,85160,117791,2980587,35,824
2015-02,R68,130226,155771,1953385,15,425
2015-02,R68A,84186,85175,505114,6,200
2015-01,ADIVISION,133694,126912,12032417,90,2835
2015-01,BDIVISION,149309,157943,16573276,111,3523
2015-01,FLEET,142317,143150,28605693,201,6358
2015-01,R142,195171,146801,4879280,25,1030
2015-01,R142A,60297,81594,1869210,31,435
2015-01,R143,61220,87881,918303,15,212
2015-01,R160,464302,375347,8821731,19,1662
2015-01,R188-CONVERSION,121531,98442,364593,3,120
2015-01,R188-NEW,418994,560628,418994,1,100
2015-01,R32,55303,60354,829552,15,222
2015-01,R42,15752,54105,94509,6,50
2015-01,R46,95443,90950,3245046,34,752
2015-01,R62,268652,215548,1343259,5,315
2015-01,R62A,126282,121234,3157061,25,824
2015-01,R68,124569,156180,2117669,17,425
2015-01,R68A,109293,86097,546466,5,200
